Unnamed: 0,Location,Year,Month,Day,Latitude,Longitude,Country,Region_HiMAP,Type,Impact,Fatalities,Injured,Livestock,Leisure,Remarks,Reference
210,"Ubaghn, Nusai, Badakhshan",2022,3.0,18.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
211,"Sakhach wa Zonun, Nusai, Badakhshan",2018,2.0,16.0,38.42942,70.930809,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
212,"Jogani, Nusai, Badakhshan",2018,2.0,16.0,38.42942,70.930809,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
213,Badakhshan ,2012,3.0,4.0,38.2,70.933333,Afghanistan,6.0,snow avalanche,Y,196,,,,death toll from 4th to 8th,https://reliefweb.int/report/afghanistan/north-eastern-kunduz-office-badakhshan-avalanche-incident-report-no-3
214,"Manikhawr, Shukai, Badakhshan",2012,6.0,18.0,38.199556,70.93725,Afghanistan,6.0,wet snow avalanche,N,0,,0.0,,,AKAH-A
215,"Jarf, Shukai, Badakhshan",2019,1.0,15.0,38.199556,70.93725,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
216,"Charsang, Arghanj Khaw, Badakhshan",2015,2.0,23.0,37.366943,70.940552,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
217,"Charmaghzistan, Yamgan, Badakhshan",2015,2.0,19.0,36.52050784,70.96666463,Afghanistan,8.0,slab avalanche,N,0,,0.0,,,AKAH-A
218,"Shagoon, Maimai, Badakhshan",2019,1.0,17.0,38.39655,71.027232,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
219,"Ghuzmurgh, Baharak, Badakhshan",2015,2.0,13.0,37.033821,71.027527,Afghanistan,6.0,slab avalanche,Y,2,3.0,0.0,,3 persons injured,AKAH-A
220,"Rizway, Maimai, Badakhshan",2018,2.0,16.0,38.44370355,71.03258226,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
221,"Dehkha, Shukai, Badakhshan",2018,2.0,14.0,37.65236,71.03805,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
222,"Dehkha, Shukai, Badakhshan",2018,2.0,16.0,37.65236,71.03805,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
223,"Dehkha, Shukai, Badakhshan",2018,3.0,13.0,37.65236,71.03805,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
224,"Dehkha, Shukai, Badakhshan",2019,1.0,12.0,37.65236,71.03805,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
225,"Dehkha, Shukai, Badakhshan",2019,3.0,28.0,37.65236,71.03805,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
226,"Dehkha, Shukai, Badakhshan",2020,1.0,7.0,37.65236,71.03805,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
227,"Dawlat Shahi, Arghanj khaw, Badakhshan",2020,1.0,11.0,37.65236,71.03805,Afghanistan,6.0,slab avalanche,Y,1,,0.0,,,AKAH-A
228,"Dawlat shayee, Arghanj  khaw, Badakhshan",2021,4.0,6.0,37.65236,71.03805,Afghanistan,6.0,wet snow avalanche,Y,1,,0.0,,,AKAH-A
229,"Sarchashmai Markazi, Maimai, Badakhshan",2019,1.0,17.0,38.40432232,71.04711317,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
230,"Charbagh, Maimai, Badakhshan",2018,2.0,16.0,38.40394443,71.05096168,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
231,"Sarchashma, Maimai, Badakhshan",2018,2.0,27.0,38.39520149,71.06269243,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
232,"Sarchashma, Maimai, Badakhshan",2019,1.0,9.0,38.39520149,71.06269243,Afghanistan,6.0,slab avalanche,Y,0,3.0,0.0,,3 persons injured,AKAH-A
233,"Sarchashma, Maimai, Badakhshan",2019,1.0,17.0,38.39520149,71.06269243,Afghanistan,6.0,slab avalanche,Y,0,1.0,0.0,,1 person injured,AKAH-A
